,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2024-01-02 00:00:00+00:00,185.64,188.44,183.885,187.15,82488674,184.7354755079,187.5218326045,182.9890266848,186.238118085,82488674,0.0,1.0
1,2024-01-03 00:00:00+00:00,184.25,185.88,183.43,184.22,58414460,183.3522482349,184.9743061161,182.5362436566,183.3223944088,58414460,0.0,1.0
2,2024-01-04 00:00:00+00:00,181.91,183.0872,180.88,182.15,71983570,181.0236498041,182.1951139377,179.9986684436,181.2624804124,71983570,0.0,1.0
3,2024-01-05 00:00:00+00:00,181.18,182.76,180.17,181.99,62196924,180.2972067039,181.8695082084,179.292127894,181.1032600069,62196924,0.0,1.0
4,2024-01-08 00:00:00+00:00,185.56,185.6,181.5,182.085,59144470,184.6558653051,184.6956704065,180.615647515,181.1977971226,59144470,0.0,1.0
5,2024-01-09 00:00:00+00:00,185.14,185.15,182.73,183.92,42841809,184.2379117406,184.2478630159,181.8396543824,183.0238561485,42841809,0.0,1.0
6,2024-01-10 00:00:00+00:00,186.19,186.4,183.92,184.35,46792908,185.2827956518,185.4917724341,183.0238561485,183.4517609883,46792908,0.0,1.0
7,2024-01-11 00:00:00+00:00,185.59,187.05,183.62,186.54,49128408,184.6857191311,186.1386053315,182.7253178881,185.6310902889,49128408,0.0,1.0
8,2024-01-12 00:00:00+00:00,185.92,186.74,185.19,186.06,40477782,185.0141112175,185.8301157958,184.2876681173,185.1534290724,40477782,0.0,1.0
9,2024-01-16 00:00:00+00:00,183.63,184.26,180.934,182.16,65603041,182.7352691635,183.3621995102,180.0524053304,181.2724316877,65603041,0.0,1.0
10,2024-01-17 00:00:00+00:00,182.68,182.93,180.3,181.27,47317433,181.7898980057,182.0386798893,179.4214944735,180.386768182,47317433,0.0,1.0
11,2024-01-18 00:00:00+00:00,188.63,189.14,185.83,186.09,78005754,187.7109068361,188.2184218787,184.9245497394,185.1832828984,78005754,0.0,1.0
12,2024-01-19 00:00:00+00:00,191.56,191.95,188.82,189.33,68902985,190.6266305122,191.0147302507,187.8999810676,188.4074961102,68902985,0.0,1.0
13,2024-01-22 00:00:00+00:00,193.89,195.33,192.26,192.3,60133852,192.9452776676,194.3782613173,191.3232197864,191.3630248877,60133852,0.0,1.0
14,2024-01-23 00:00:00+00:00,195.18,195.75,193.8299,195.02,42355590,194.2289921872,194.7962148818,192.8854705028,194.0697717816,42355590,0.0,1.0
15,2024-01-24 00:00:00+00:00,194.5,196.38,194.34,195.42,53463269,193.5523054637,195.4231452286,193.3930850582,194.4678227954,53463269,0.0,1.0
16,2024-01-25 00:00:00+00:00,194.17,196.2675,193.1125,195.22,54822126,193.2239133773,195.3111933809,192.1715660095,194.2687972885,54822126,0.0,1.0
17,2024-01-26 00:00:00+00:00,192.42,194.76,191.94,194.27,44594011,191.4824401919,193.8110386227,191.0047789753,193.3234261307,44594011,0.0,1.0
18,2024-01-29 00:00:00+00:00,191.73,192.2,189.58,192.01,47145622,190.7958021931,191.2635121343,188.6562779939,191.0744379027,47145622,0.0,1.0
19,2024-01-30 00:00:00+00:00,188.04,191.8,187.47,190.94,55859370,187.1237815907,190.8654611205,186.556558896,190.0096514408,55859370,0.0,1.0
20,2024-01-31 00:00:00+00:00,184.4,187.095,184.35,187.04,55467803,183.5015173651,186.1833860706,183.4517609883,186.1286540562,55467803,0.0,1.0
21,2024-02-01 00:00:00+00:00,186.86,186.95,183.82,183.985,64885408,185.9495311,186.0390925781,182.924343395,183.0885394382,64885408,0.0,1.0
22,2024-02-02 00:00:00+00:00,185.85,187.33,179.25,179.86,102551680,184.9444522901,186.4172410412,178.3766105623,178.9836383583,102551680,0.0,1.0
23,2024-02-05 00:00:00+00:00,187.68,189.25,185.84,188.15,69668820,186.7655356783,188.3278859075,184.9345010148,187.2332456195,69668820,0.0,1.0
24,2024-02-06 00:00:00+00:00,189.3,189.31,186.7695,186.86,43490759,188.3776422842,188.3875935595,185.8594720581,185.9495311,43490759,0.0,1.0
25,2024-02-07 00:00:00+00:00,189.41,191.05,188.61,190.64,53438955,188.487106313,190.1191154696,187.6910042854,189.7111131804,53438955,0.0,1.0
26,2024-02-08 00:00:00+00:00,188.32,189.535,187.35,189.385,40962046,187.4024173004,188.6114972548,186.4371435919,188.4622281246,40962046,0.0,1.0
27,2024-02-09 00:00:00+00:00,188.85,189.99,188.0,188.65,45155216,188.1686655019,189.3045526011,187.3217321385,187.9693870635,45155216,0.24,1.0
28,2024-02-12 00:00:00+00:00,187.15,188.67,186.79,188.415,41781934,186.4747987752,187.9893149073,186.116097586,187.7352348983,41781934,0.0,1.0
29,2024-02-13 00:00:00+00:00,185.04,186.21,183.5128,185.77,56529529,184.3724112496,185.5381901145,182.8507210936,185.0997775499,56529529,0.0,1.0
30,2024-02-14 00:00:00+00:00,184.15,185.53,182.44,185.32,54630517,183.4856221985,184.8606434237,181.7817915498,184.6514010634,54630517,0.0,1.0
31,2024-02-15 00:00:00+00:00,183.86,184.49,181.35,183.55,65434496,183.1966684627,183.8243955438,180.6957240602,182.8877868831,65434496,0.0,1.0
32,2024-02-16 00:00:00+00:00,182.31,184.85,181.665,183.42,49752465,181.6522605648,184.183096733,181.0095876008,182.7582558982,49752465,0.0,1.0
33,2024-02-20 00:00:00+00:00,181.56,182.43,180.0,181.79,53665553,180.9049664206,181.7718276278,179.3505946007,181.1341366248,53665553,0.0,1.0
34,2024-02-21 00:00:00+00:00,182.32,182.8888,180.66,181.94,41529674,181.6622244867,182.2289723656,180.0082134476,181.2835954537,41529674,0.0,1.0
35,2024-02-22 00:00:00+00:00,184.37,184.955,182.46,183.48,52292208,183.7048284808,184.2877179132,181.8017193936,182.8180394297,52292208,0.0,1.0
36,2024-02-23 00:00:00+00:00,182.52,185.04,182.23,185.01,45119677,181.8615029251,184.3724112496,181.5725491894,184.3425194838,45119677,0.0,1.0
37,2024-02-26 00:00:00+00:00,181.16,182.76,180.65,182.24,40867421,180.5064095437,182.1006370513,179.9982495257,181.5825131113,40867421,0.0,1.0
38,2024-02-27 00:00:00+00:00,182.63,183.9225,179.56,181.1,54318851,181.9711060663,183.2589429747,178.9121820362,180.4466260122,54318851,0.0,1.0
39,2024-02-28 00:00:00+00:00,181.42,183.12,180.13,182.51,48953939,180.7654715137,182.4593382405,179.4801255857,181.8515390032,48953939,0.0,1.0
40,2024-02-29 00:00:00+00:00,180.75,182.57,179.53,181.27,136682597,180.0978887449,181.9113225348,178.8822902704,180.6160126849,136682597,0.0,1.0
41,2024-03-01 00:00:00+00:00,179.66,180.53,177.38,179.55,73563082,179.0118212554,179.8786824626,176.7400470571,178.9022181142,73563082,0.0,1.0
42,2024-03-04 00:00:00+00:00,175.1,176.9,173.79,176.15,81510101,174.4682728588,176.2617788048,173.162999087,175.5144846607,81510101,0.0,1.0
43,2024-03-05 00:00:00+00:00,170.12,172.04,169.62,170.76,95132355,169.5062397415,171.4193127506,169.0080436454,170.1439307446,95132355,0.0,1.0
44,2024-03-06 00:00:00+00:00,169.12,171.24,168.68,171.06,68587707,168.5098475493,170.6221989968,168.0714349847,170.4428484022,68587707,0.0,1.0
45,2024-03-07 00:00:00+00:00,169.0,170.73,168.49,169.15,71765061,168.3902804862,170.1140389788,167.8821204682,168.5397393151,71765061,0.0,1.0
46,2024-03-08 00:00:00+00:00,170.73,173.7,168.94,169.0,76267041,170.1140389788,173.0733237897,168.3304969547,168.3902804862,76267041,0.0,1.0
47,2024-03-11 00:00:00+00:00,172.75,174.38,172.05,172.94,58929918,172.1267512071,173.7508704804,171.4292766725,172.3160657236,58929918,0.0,1.0
48,2024-03-12 00:00:00+00:00,173.23,174.03,171.01,173.15,59544927,172.6050194594,173.4021332131,170.3930287926,172.525308084,59544927,0.0,1.0
49,2024-03-13 00:00:00+00:00,171.13,173.185,170.76,172.77,51948951,170.5125958557,172.5601818107,170.1439307446,172.1466790509,51948951,0.0,1.0
50,2024-03-14 00:00:00+00:00,173.0,174.3078,172.05,172.91,72571635,172.3758492552,173.6789309641,171.4292766725,172.2861739579,72571635,0.0,1.0
51,2024-03-15 00:00:00+00:00,172.62,172.62,170.285,171.17,121752699,171.9972202221,171.9972202221,169.6706444533,170.5524515434,121752699,0.0,1.0
52,2024-03-18 00:00:00+00:00,173.72,177.71,173.52,175.57,75604184,173.0932516336,177.0688564805,172.8939731951,174.9365771892,75604184,0.0,1.0
53,2024-03-19 00:00:00+00:00,176.08,176.605,173.03,174.34,55215244,175.4447372072,175.9678431081,172.4057410209,173.7110147927,55215244,0.0,1.0
54,2024-03-20 00:00:00+00:00,178.67,178.67,175.09,175.72,53423102,178.0253929851,178.0253929851,174.4583089369,175.086036018,53423102,0.0,1.0
55,2024-03-21 00:00:00+00:00,171.37,177.49,170.84,177.05,106181270,170.7517299818,176.8496501982,170.2236421199,176.4112376337,106181270,0.0,1.0
56,2024-03-22 00:00:00+00:00,172.28,173.05,170.06,171.76,71160138,171.6584468767,172.4256688648,169.44645621,171.1403229368,71160138,0.0,1.0
57,2024-03-25 00:00:00+00:00,170.85,171.94,169.45,170.565,54288328,170.2336060419,171.3196735314,168.8386569727,169.9496342671,54288328,0.0,1.0
58,2024-03-26 00:00:00+00:00,169.71,171.42,169.58,170.0,57388449,169.0977189427,170.8015495914,168.9681879577,169.3866726785,57388449,0.0,1.0
59,2024-03-27 00:00:00+00:00,173.31,173.6,170.11,170.41,60273265,172.6847308347,172.9736845705,169.4962758196,169.7951934773,60273265,0.0,1.0
60,2024-03-28 00:00:00+00:00,171.48,172.23,170.51,171.75,65672690,170.861333123,171.6086272671,169.8948326965,171.1303590149,65672690,0.0,1.0
61,2024-04-01 00:00:00+00:00,170.03,171.25,169.475,171.19,43772506,169.4165644442,170.6321629188,168.8635667776,170.5723793872,43772506,0.0,1.0
62,2024-04-02 00:00:00+00:00,168.84,169.34,168.2302,169.08,49013991,168.2308577355,168.7290538316,167.6232577767,168.4699918616,49013991,0.0,1.0
63,2024-04-03 00:00:00+00:00,169.65,170.68,168.58,168.79,45571129,169.0379354112,170.0642193692,167.9717957655,168.1810381259,45571129,0.0,1.0
64,2024-04-04 00:00:00+00:00,168.82,171.92,168.82,170.29,53355055,168.2109298916,171.2997456875,168.2109298916,169.6756264142,53355055,0.0,1.0
65,2024-04-05 00:00:00+00:00,169.58,170.39,168.95,169.59,41975776,168.9681879577,169.7752656334,168.3404608766,168.9781518797,41975776,0.0,1.0
66,2024-04-08 00:00:00+00:00,168.45,169.2,168.24,169.03,37216858,167.8422647805,168.5895589247,167.6330224202,168.420172252,37216858,0.0,1.0
67,2024-04-09 00:00:00+00:00,169.67,170.08,168.35,168.7,42231444,169.057863255,169.4663840539,167.7426255613,168.0913628286,42231444,0.0,1.0
68,2024-04-10 00:00:00+00:00,167.78,169.09,167.11,168.8,49709336,167.1746820117,168.4799557835,166.5070992429,168.1910020478,49709336,0.0,1.0
69,2024-04-11 00:00:00+00:00,175.04,175.46,168.16,168.34,91070275,174.4084893273,174.826974048,167.5533110448,167.7326616394,91070275,0.0,1.0
70,2024-04-12 00:00:00+00:00,176.55,178.36,174.21,174.26,101670886,175.9130415376,177.7165114055,173.5814838077,173.6313034174,101670886,0.0,1.0
71,2024-04-15 00:00:00+00:00,172.69,176.63,172.5,175.36,73531773,172.0669676756,175.9927529129,171.877653159,174.7273348288,73531773,0.0,1.0
72,2024-04-16 00:00:00+00:00,169.38,173.76,168.27,171.75,73711235,168.7689095193,173.1331073212,167.6629141859,171.1303590149,73711235,0.0,1.0
73,2024-04-17 00:00:00+00:00,168.0,170.65,168.0,169.61,50901210,167.393888294,170.0343276034,167.393888294,168.9980797235,50901210,0.0,1.0
74,2024-04-18 00:00:00+00:00,167.04,168.64,166.55,168.03,43122903,166.4373517895,168.031579297,165.9491196153,167.4237800598,43122903,0.0,1.0
75,2024-04-19 00:00:00+00:00,165.0,166.4,164.075,166.21,68149377,164.4047117173,165.7996607865,163.4830489395,165.6103462699,68149377,0.0,1.0
76,2024-04-22 00:00:00+00:00,165.84,167.26,164.77,165.515,48116443,165.2416811588,166.6565580718,164.1755415131,164.9178536963,48116443,0.0,1.0
77,2024-04-23 00:00:00+00:00,166.9,167.05,164.92,165.35,49537761,166.2978568826,166.4473157114,164.325000342,164.7534489846,49537761,0.0,1.0
78,2024-04-24 00:00:00+00:00,169.02,169.3,166.21,166.54,48251835,168.4102083301,168.6891981439,165.6103462699,165.9391556934,48251835,0.0,1.0
79,2024-04-25 00:00:00+00:00,169.89,170.61,168.1511,169.525,50558329,169.2770695373,169.9944719157,167.5444431543,168.9133863872,50558329,0.0,1.0
80,2024-04-26 00:00:00+00:00,169.3,171.34,169.18,169.88,44838354,168.6891981439,170.7218382161,168.5696310808,169.2671056154,44838354,0.0,1.0
81,2024-04-29 00:00:00+00:00,173.5,176.03,173.1,173.37,68169419,172.8740453513,175.3949175976,172.4754884744,172.7445143663,68169419,0.0,1.0
82,2024-04-30 00:00:00+00:00,170.33,174.99,170.0,173.33,65934776,169.7154821019,174.3586697177,169.3866726785,172.7046586786,65934776,0.0,1.0
83,2024-05-01 00:00:00+00:00,169.3,172.705,169.11,169.58,50383147,168.6891981439,172.0819135584,168.4998836274,168.9681879577,50383147,0.0,1.0
84,2024-05-02 00:00:00+00:00,173.03,173.415,170.89,172.51,94214915,172.4057410209,172.7893520149,170.2734617296,171.887617081,94214915,0.0,1.0
85,2024-05-03 00:00:00+00:00,183.38,187.0,182.66,186.645,163224109,182.7184002105,186.3253399463,182.0009978321,185.9716207181,163224109,0.0,1.0
86,2024-05-06 00:00:00+00:00,181.71,184.2,180.42,182.354,78569667,181.0544252494,183.5354418081,179.7690793215,181.6961018212,78569667,0.0,1.0
87,2024-05-07 00:00:00+00:00,182.4,184.9,181.32,183.45,77305771,181.7419358621,184.2329163426,180.6658322945,182.7881476639,77305771,0.0,1.0
88,2024-05-08 00:00:00+00:00,182.74,183.07,181.45,182.85,45057087,182.0807092074,182.4095186309,180.7953632795,182.1903123486,45057087,0.0,1.0
89,2024-05-09 00:00:00+00:00,184.57,184.66,182.11,182.56,48982972,183.9041069192,183.9937822165,181.4529821263,181.9013586128,48982972,0.0,1.0
90,2024-05-10 00:00:00+00:00,183.05,185.09,182.13,184.9,50759496,182.6386888351,184.6741049794,181.7207560641,184.4845319072,50759496,0.25,1.0
91,2024-05-13 00:00:00+00:00,186.28,187.1,184.62,185.435,72044809,185.8614310636,186.6795885334,184.2051610638,185.0183297686,72044809,0.0,1.0
92,2024-05-14 00:00:00+00:00,187.43,188.3,186.29,187.51,52393619,187.0088470274,187.8768921478,185.8714085938,187.0886672683,52393619,0.0,1.0
93,2024-05-15 00:00:00+00:00,189.72,190.65,187.37,187.91,70399988,189.2937014247,190.2216117258,186.9489818467,187.4877684731,70399988,0.0,1.0
94,2024-05-16 00:00:00+00:00,189.84,191.095,189.6601,190.47,52845230,189.4134317861,190.6656118161,189.2339360193,190.0420161837,52845230,0.0,1.0
95,2024-05-17 00:00:00+00:00,189.87,190.81,189.18,189.51,41282925,189.4433643765,190.3812522077,188.7549147983,189.0841732922,41282925,0.0,1.0
96,2024-05-20 00:00:00+00:00,191.04,191.9199,189.01,189.325,44361275,190.6107354005,191.4886582757,188.5852967862,188.899588985,44361275,0.0,1.0
97,2024-05-21 00:00:00+00:00,192.35,192.73,190.9201,191.09,42309401,191.9177918461,192.2969379906,190.4911048143,190.6606230511,42309401,0.0,1.0
98,2024-05-22 00:00:00+00:00,190.9,192.8231,190.27,192.265,34648547,190.4710499788,192.389828796,189.8424655813,191.8329828401,34648547,0.0,1.0
99,2024-05-23 00:00:00+00:00,186.88,191.0,186.625,190.98,51005924,186.4600828708,190.57082528,186.2056558528,190.5508702197,51005924,0.0,1.0
100,2024-05-24 00:00:00+00:00,189.98,190.58,188.0404,188.82,36326975,189.5531172078,190.151769015,187.6178754659,188.395723714,36326975,0.0,1.0
101,2024-05-28 00:00:00+00:00,189.99,193.0,189.1,191.51,52280051,189.5630947379,192.5663313039,188.6750945573,191.0796793161,52280051,0.0,1.0
102,2024-05-29 00:00:00+00:00,190.29,192.247,189.51,189.61,53068016,189.8624206415,191.8150232859,189.0841732922,189.1839485934,53068016,0.0,1.0
103,2024-05-30 00:00:00+00:00,191.29,192.18,190.63,190.76,49947941,190.8601736534,191.7481738341,190.2016566656,190.3313645571,49947941,0.0,1.0
104,2024-05-31 00:00:00+00:00,192.25,192.57,189.91,191.44,75158277,191.8180165449,192.1372975087,189.483274497,191.0098366052,75158277,0.0,1.0
105,2024-06-03 00:00:00+00:00,194.03,194.99,192.52,192.9,50080539,193.5940169062,194.5518597976,192.0874098581,192.4665560027,50080539,0.0,1.0
106,2024-06-04 00:00:00+00:00,194.35,195.32,193.0342,194.635,47471445,193.91329787,194.8811182916,192.6004544569,194.1976574784,47471445,0.0,1.0
107,2024-06-05 00:00:00+00:00,195.87,196.9,194.87,195.4,54156785,195.4298824481,196.4575680504,194.4321294362,194.9609385325,54156785,0.0,1.0
108,2024-06-06 00:00:00+00:00,194.48,196.5,194.17,195.685,41181753,194.0430057615,196.0584668456,193.7337023278,195.2452981409,41181753,0.0,1.0
109,2024-06-07 00:00:00+00:00,196.89,196.94,194.14,194.65,53103912,196.4475905203,196.4974781709,193.7037697375,194.2126237736,53103912,0.0,1.0
110,2024-06-10 00:00:00+00:00,193.12,197.3,192.15,196.9,97262077,192.6860616653,196.8566692552,191.7182412437,196.4575680504,97262077,0.0,1.0
111,2024-06-11 00:00:00+00:00,207.15,207.16,193.63,193.65,172373296,206.6845364228,206.6945139529,193.1949157014,193.2148707616,172373296,0.0,1.0
112,2024-06-12 00:00:00+00:00,213.07,220.2,206.9,207.37,198134293,212.5912342534,219.7052132285,206.4350981698,206.9040420854,198134293,0.0,1.0
113,2024-06-13 00:00:00+00:00,214.24,216.75,211.6,214.74,97862729,213.7586052774,216.2629653374,211.1245373259,214.2574817834,97862729,0.0,1.0
114,2024-06-14 00:00:00+00:00,212.49,215.17,211.3,213.85,70122748,212.0125375065,214.6865155785,210.8252114223,213.3694816027,70122748,0.0,1.0
